,App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,processed_review
64196,Housing-Real Estate & Property,Incorrect listings. The agents show property discuss properties. Plus listed price varies lot compared told agents/ owners. Not reliable looking flat purchase.,Negative,-0.025,0.125,incorrect listing agent property discuss property plus list price varie lot compare tell owner reliable look flat purchase
64197,Housing-Real Estate & Property,Pathetic app.All posted leads owner either old person says wrong number.Only agent picks calls.Properties posted February still showing.Owner says booked long back.I think use.,Negative,-0.3625,0.625,pathetic post lead owner old person say wrong agent pick post february say book long think use
64198,Housing-Real Estate & Property,It's waste app... Most properties 2017... And I want room Hyderabad able find even,Positive,0.2666666666666666,0.375,waste app property want room hyderabad able find
64199,Housing-Real Estate & Property,Filters useless I posted owners shows agents approach agents,Negative,-0.5,0.2,filter useless post owner show agent approach agent
64200,Housing-Real Estate & Property,Why business? Your filters don't work.. redirect buyers agent.. Deleting after using 15 min,Neutral,0.0,0.0,business filter work redirect buyer agent delete min
64201,Housing-Real Estate & Property,Filters work... Searching property useless,Negative,-0.5,0.2,filter work search property useless
64205,Housing-Real Estate & Property,I want list property sale option. Please connect,Neutral,0.0,0.0,want list property sale option connect
64207,Housing-Real Estate & Property,Good,Positive,0.7,0.6000000000000001,good
64209,Housing-Real Estate & Property,"Awesome app.. But prices date? Awesome app. Gives proper listing. Have good filter options. Also good pre-defined lists luxury, budget homes etc. But price up-to-date? I checked flat's price I checked last month. If thats good. But changed, I hope update price too.",Positive,0.509375,0.5114583333333333,awesome app price date awesome app give proper listing good filter option good pre define list luxury budget home etc price date check flat price check month s good change hope update price
64213,Housing-Real Estate & Property,This worse ever. They give graphic pictures property. Other like magicbricks 99acres give real pictures visit sites also verify them. This site doesn't.,Negative,-0.08125,0.41875,bad graphic picture property like magicbrick real picture visit site verify site
64215,Housing-Real Estate & Property,"Horrible app. I wanted list property get around even spending 30 mins this. BTW downloaded since bad. I guess ur focus right matter site app, equally bad",Negative,-0.5285714285714285,0.7172619047619047,horrible app want list property spend min btw download bad guess ur focus right matter site app equally bad
64216,Housing-Real Estate & Property,Worst app. We get nothing Time waste . They update properties details. They delete sold properties. Both sellers buyers get time waste. Don't install waste,Negative,-0.3999999999999999,0.25,bad app time waste update property detail delete sell property seller buyer time waste install waste
64217,Housing-Real Estate & Property,"I able set range 1cr, scroll space 0-1cr range. At least able set value input box something.",Positive,0.2333333333333333,0.5499999999999999,able set range scroll space range able set value input box
64218,Housing-Real Estate & Property,What nonsensical app.. doesn't owner postings plus does not give information floor details like name building premise,Neutral,0.0,0.0,nonsensical app owner posting plus information floor detail like building premise
64220,Housing-Real Estate & Property,"No response support team. After I login, unable see active property sale. Unable update properties etc. There response support team even week. Please deactivate property Housing.",Negative,-0.3777777777777777,0.5333333333333333,response support team login unable active property sale unable update property etc response support team week deactivate property housing
64221,Housing-Real Estate & Property,Everything old stuff neither clear sold properties add new ones ..absolute time waste!,Positive,0.021590909090909,0.2594696969696969,old stuff clear sell property add new one absolute time waste
64222,Housing-Real Estate & Property,Most ads older many agents ..not much owner posted details . No report ads options . Even wrong informations also posted .,Positive,0.1733333333333332,0.4866666666666666,ad old agent owner post detail report ad option wrong information post
64223,Housing-Real Estate & Property,"If photos posted portal load, fit purpose. I'm sure storage technology use. I experience photo load issue using similar applications. Ur technical team need test rigorously improve production environment.",Positive,0.225,0.4472222222222222,photo post portal load fit purpose sure storage technology use experience photo load issue similar application ur technical team need test rigorously improve production environment
64226,Housing-Real Estate & Property,"Dumb app, I wanted post property rent give option. Website work. Waste time space phone.",Negative,-0.2875,0.25,dumb app want post property rent option website work waste time space phone
64227,Housing-Real Estate & Property,I property business got link SMS happy performance still guys need raise bar guys Cheers,Positive,0.8,1.0,property business get link sms happy performance guy need raise bar guy cheer
64230,Housing-Real Estate & Property,"Useless app, I searched flats kondapur, Hyderabad . None number reachable I know flats unavailable would keep posts active",Negative,-0.3166666666666666,0.4,useless app search flat kondapur hyderabad number reachable know flat unavailable post active
